Datetime,VQC_Pred,Actual
11-08-2024,290.1973293,289.0723402
12-08-2024,293.0891928,290.4430695
13-08-2024,287.6694617,288.0769033
14-08-2024,288.3134224,288.7208355
15-08-2024,294.3211039,291.577348
16-08-2024,290.0581786,288.7250992
17-08-2024,292.7021728,293.5185461
18-08-2024,290.4609859,289.518685
19-08-2024,284.1336625,284.9395108
20-08-2024,289.2320948,290.0419608
21-08-2024,289.7926259,289.3726921
22-08-2024,287.9404575,291.2658207
23-08-2024,287.111411,290.1094452
24-08-2024,287.5860903,288.5637507
25-08-2024,284.7098466,286.4704442
26-08-2024,289.1257029,288.580155
27-08-2024,285.7986211,287.3770891
28-08-2024,285.5429784,287.997764
29-08-2024,292.9637941,290.4173854
30-08-2024,292.2692923,292.6621766
31-08-2024,290.311364,290.194555
01-09-2024,284.6205688,287.0969799
02-09-2024,289.5156128,290.4621589
03-09-2024,292.2432996,292.0510816
04-09-2024,286.523068,288.523759
05-09-2024,290.2137558,289.5614213
06-09-2024,288.9012656,289.9455711
07-09-2024,287.9262957,288.4337288
08-09-2024,290.3418304,291.3879917
09-09-2024,293.1562763,289.937998
10-09-2024,291.0839697,291.1079636
11-09-2024,286.7448547,288.5834426
12-09-2024,291.0023932,289.5735455
13-09-2024,289.8616756,291.9837493
14-09-2024,290.246733,289.8843169
15-09-2024,290.7693844,294.1753621
16-09-2024,287.7054413,290.0140504
17-09-2024,291.696559,291.3550001
18-09-2024,294.1462616,292.8635219
19-09-2024,288.5519606,288.2547023
20-09-2024,287.4617678,287.6632759
21-09-2024,287.7036035,288.2273888
22-09-2024,291.3281505,293.8980077
23-09-2024,289.1121171,290.3635734
24-09-2024,295.8774134,296.6784325
25-09-2024,292.365046,290.5285589
26-09-2024,292.718022,292.1214344
27-09-2024,291.8677869,294.9320687
28-09-2024,296.5184143,295.9557727
29-09-2024,295.4928148,296.1625348
30-09-2024,293.3755173,294.5523851
01-10-2024,295.3424769,294.2800684
02-10-2024,295.3045275,293.5134354
03-10-2024,295.5994742,293.9816706
04-10-2024,289.9603557,291.4192543
05-10-2024,290.4441208,290.981997
06-10-2024,293.2836059,292.7084881
07-10-2024,294.1664902,292.4717646
08-10-2024,291.1693813,292.0026107
09-10-2024,294.0756221,294.398792
10-10-2024,293.0904918,295.0135767
11-10-2024,291.2974491,293.3767095
12-10-2024,297.663284,296.251847
13-10-2024,293.4665252,291.1102428
14-10-2024,292.9773854,293.1030608
15-10-2024,293.8967613,292.1533996
16-10-2024,290.5784212,289.950523
17-10-2024,292.4930527,293.6146557
18-10-2024,294.2602736,293.6327933
19-10-2024,299.6714923,296.9992909
20-10-2024,295.2671353,295.3299313
21-10-2024,294.8340841,292.115646
22-10-2024,293.4146627,297.9676931
23-10-2024,298.2245535,296.7968221
24-10-2024,295.764665,295.6139369
25-10-2024,293.5713398,294.0914821
26-10-2024,292.8789037,292.7199843
27-10-2024,290.5340881,293.9885473
28-10-2024,296.6219475,297.0042237
29-10-2024,299.3093518,298.6893143
30-10-2024,300.6673637,298.0996756
31-10-2024,293.2269816,294.1281504
01-11-2024,291.5533634,292.9588711
02-11-2024,294.6992407,295.5717135
03-11-2024,293.4346695,291.8444581
04-11-2024,296.6893632,296.1186112
05-11-2024,294.3463996,295.2675353
06-11-2024,295.6120379,294.7206406
07-11-2024,292.7209303,292.5527717
08-11-2024,298.541051,296.8583162
09-11-2024,293.6335698,294.8541094
10-11-2024,293.0975749,293.6675124
11-11-2024,289.6681505,290.3500798
12-11-2024,293.5824604,296.1262389
13-11-2024,300.3258736,299.8118262
14-11-2024,300.1283817,299.6752689
15-11-2024,295.5316892,295.5233422
16-11-2024,294.9090401,295.3172355
17-11-2024,295.082542,297.5426574
18-11-2024,293.9595757,294.6910957
19-11-2024,296.7774058,297.3735007
20-11-2024,296.9886993,298.3834046
21-11-2024,299.1048838,299.3856988
22-11-2024,297.5129632,296.8113582
23-11-2024,299.9605852,296.6833834
24-11-2024,295.7158811,295.4130455
25-11-2024,296.0397521,295.59273
26-11-2024,296.7402902,296.8701983
27-11-2024,294.798818,298.1337232
28-11-2024,299.25454,299.3011537
29-11-2024,296.0458873,295.9417605
30-11-2024,304.8867448,300.6067571
01-12-2024,296.8166914,297.1515078
02-12-2024,298.2459733,297.722495
03-12-2024,296.280507,296.3413667
04-12-2024,291.02552,293.0569423
05-12-2024,301.7276197,299.7422054
06-12-2024,300.8216812,299.5155401
07-12-2024,298.9200533,297.5459676
08-12-2024,296.7275574,298.3083946
09-12-2024,301.7082721,299.2710894
10-12-2024,292.7412907,295.1779121
11-12-2024,298.3269525,297.3076739
12-12-2024,303.8220048,300.0160548
13-12-2024,294.2577971,295.9796516
14-12-2024,298.1503694,299.1349985
15-12-2024,296.0659384,295.893307
16-12-2024,298.7213836,299.596843
17-12-2024,295.9539043,298.649126
18-12-2024,295.6640811,295.545474
19-12-2024,299.3128678,301.1594369
20-12-2024,298.2363289,297.4138773
21-12-2024,295.7162505,297.3145293
22-12-2024,302.0798847,299.3870077
23-12-2024,299.9711848,301.3328309
24-12-2024,296.4922367,297.0524416
25-12-2024,300.6679667,299.254807
26-12-2024,297.8957788,300.035266
27-12-2024,301.0035771,300.608845
28-12-2024,301.890287,299.6193239
29-12-2024,295.781029,298.57499
30-12-2024,298.0155705,297.6952599
31-12-2024,300.0139798,299.5629045