date,Actual,qgru_Pred
08-11-24,300.0981,300.0808
08-12-24,299.37646,300.15738
08-13-24,299.49542,299.77045
08-14-24,300.42264,299.72736
08-15-24,300.3834,300.22336
08-16-24,300.3387,300.33743
08-17-24,301.09998,300.36078
08-18-24,301.33533,300.79376
08-19-24,301.4587,301.0489
08-20-24,301.0908,301.2054
08-21-24,300.51428,301.07227
08-22-24,300.89615,300.73618
08-23-24,300.8693,300.8472
08-24-24,300.52252,300.85297
08-25-24,300.141,300.66568
08-26-24,300.09268,300.40118
08-27-24,299.3511,300.29022
08-28-24,299.23407,299.8264
08-29-24,299.39456,299.61313
08-30-24,299.5584,299.6208
08-31-24,300.21292,299.69922
09-01-24,300.79358,300.08463
09-02-24,300.77005,300.5163
09-03-24,300.70093,300.64133
09-04-24,300.11288,300.66125
09-05-24,299.02533,300.35727
09-06-24,298.90326,299.65903
09-07-24,299.0327,299.37393
09-08-24,299.7047,299.3353
09-09-24,299.97995,299.68762
09-10-24,300.3767,299.93445
09-11-24,299.64932,300.23584
09-12-24,299.57346,299.92734
09-13-24,297.13605,299.8105
09-14-24,297.19513,298.32965
09-15-24,298.18573,297.91708
09-16-24,298.74698,298.33887
09-17-24,298.93774,298.7567
09-18-24,299.66476,298.98923
09-19-24,296.5415,299.49347
09-20-24,298.166,297.78397
09-21-24,299.03976,298.2995
09-22-24,300.0537,298.9162
09-23-24,300.0881,299.67743
09-24-24,300.7378,299.93784
09-25-24,301.2738,300.411
09-26-24,299.93472,300.86246
09-27-24,299.62714,300.28812
09-28-24,297.38718,299.97675
09-29-24,297.66937,298.56033
09-30-24,298.7424,298.29395
10-01-24,298.95667,298.7981
10-02-24,299.84955,299.03595
10-03-24,299.6806,299.62506
10-04-24,298.85236,299.7093
10-05-24,299.24042,299.28146
10-06-24,298.3748,299.3958
10-07-24,297.13025,298.9115
10-08-24,297.14917,298.01465
10-09-24,296.89688,297.74094
10-10-24,296.1217,297.46008
10-11-24,294.48407,296.85846
10-12-24,294.59937,295.59186
10-13-24,294.0234,295.25912
10-14-24,294.54282,294.71344
10-15-24,293.53748,294.85983
10-16-24,293.4604,294.18866
10-17-24,295.2531,293.93
10-18-24,294.32245,295.0225
10-19-24,294.91754,294.69675
10-20-24,295.3195,295.0281
10-21-24,294.75116,295.3893
10-22-24,294.5487,295.1319
10-23-24,295.13516,294.94144
10-24-24,294.56934,295.27252
10-25-24,293.21405,294.98676
10-26-24,292.5134,294.0013
10-27-24,293.76114,293.23062
10-28-24,294.48676,293.81995
10-29-24,294.86536,294.4297
10-30-24,295.1488,294.8583
10-31-24,295.83286,295.1925
11-01-24,293.27106,295.76257
11-02-24,291.6394,294.24963
11-03-24,291.54822,292.72098
11-04-24,291.43927,292.17868
11-05-24,291.34808,291.87497
11-06-24,291.7384,291.67407
11-07-24,292.50793,291.8553
11-08-24,293.3464,292.4143
11-09-24,293.60382,293.14038
11-10-24,293.80847,293.5379
11-11-24,292.65173,293.82336
11-12-24,292.54108,293.1456
11-13-24,291.6316,292.90024
11-14-24,290.67496,292.1874
11-15-24,291.1013,291.30557
11-16-24,290.11435,291.32843
11-17-24,290.61804,290.59763
11-18-24,288.8036,290.73416
11-19-24,288.11127,289.46024
11-20-24,286.84186,288.6307
11-21-24,286.79672,287.48163
11-22-24,286.93112,287.12384
11-23-24,287.1546,287.07434
11-24-24,287.51956,287.18076
11-25-24,288.20398,287.4421
11-26-24,287.31314,287.9777
11-27-24,286.95386,287.48953
11-28-24,285.7146,287.14096
11-29-24,285.4803,286.18954
11-30-24,285.86206,285.79877
12-01-24,286.9933,285.9408
12-02-24,286.437,286.7268
12-03-24,286.27997,286.51187
12-04-24,288.00354,286.3737
12-05-24,285.21393,287.54187
12-06-24,284.38284,285.8683
12-07-24,283.69165,284.9583
12-08-24,283.77716,284.26447
12-09-24,284.45535,284.14093
12-10-24,283.37393,284.53583
12-11-24,281.588,283.86615
12-12-24,280.53967,282.556
12-13-24,281.83426,281.6354
12-14-24,281.93726,282.27246
12-15-24,280.8782,282.4085
12-16-24,280.70435,281.74606
12-17-24,281.00644,281.53027
12-18-24,282.14166,281.67493
12-19-24,280.90192,282.41458
12-20-24,283.9293,281.74
12-21-24,284.0642,283.6056
12-22-24,283.00507,284.03732
12-23-24,284.30634,283.45157
12-24-24,284.43182,284.23877
12-25-24,283.72913,284.4781
12-26-24,284.19565,284.06998
12-27-24,287.05008,284.3177
12-28-24,287.27713,286.30692
12-29-24,286.41608,286.9098
12-30-24,283.37665,286.50693
12-31-24,281.90262,284.36594