date,Actual,lstm_Pred
08-11-24,300.0981,299.56088
08-12-24,299.37646,299.5759
08-13-24,299.49542,299.3957
08-14-24,300.42264,299.30386
08-15-24,300.3834,299.49857
08-16-24,300.3387,299.63705
08-17-24,301.09998,299.73468
08-18-24,301.33533,300.02005
08-19-24,301.4587,300.29367
08-20-24,301.0908,300.5274
08-21-24,300.51428,300.59235
08-22-24,300.89615,300.4706
08-23-24,300.8693,300.47714
08-24-24,300.52252,300.464
08-25-24,300.141,300.35388
08-26-24,300.09268,300.16458
08-27-24,299.3511,300.00992
08-28-24,299.23407,299.6883
08-29-24,299.39456,299.42126
08-30-24,299.5584,299.27243
08-31-24,300.21292,299.21567
09-01-24,300.79358,299.3672
09-02-24,300.77005,299.6511
09-03-24,300.70093,299.864
09-04-24,300.11288,300.0079
09-05-24,299.02533,299.94925
09-06-24,298.90326,299.5974
09-07-24,299.0327,299.29575
09-08-24,299.7047,299.10123
09-09-24,299.97995,299.14584
09-10-24,300.3767,299.26215
09-11-24,299.64932,299.46866
09-12-24,299.57346,299.4262
09-13-24,297.13605,299.37756
09-14-24,297.19513,298.6541
09-15-24,298.18573,298.13025
09-16-24,298.74698,298.01312
09-17-24,298.93774,298.09186
09-18-24,299.66476,298.2228
09-19-24,296.5415,298.5417
09-20-24,298.166,297.91208
09-21-24,299.03976,297.90585
09-22-24,300.0537,298.13916
09-23-24,300.0881,298.60498
09-24-24,300.7378,298.97012
09-25-24,301.2738,299.42575
09-26-24,299.93472,299.9052
09-27-24,299.62714,299.8785
09-28-24,297.38718,299.75958
09-29-24,297.66937,299.02298
09-30-24,298.7424,298.53973
10-01-24,298.95667,298.46875
10-02-24,299.84955,298.47986
10-03-24,299.6806,298.75378
10-04-24,298.85236,298.92264
10-05-24,299.24042,298.8278
10-06-24,298.3748,298.86914
10-07-24,297.13025,298.65353
10-08-24,297.14917,298.14142
10-09-24,296.89688,297.76123
10-10-24,296.1217,297.4023
10-11-24,294.48407,296.92255
10-12-24,294.59937,296.1086
10-13-24,294.0234,295.54108
10-14-24,294.54282,294.96277
10-15-24,293.53748,294.69742
10-16-24,293.4604,294.2386
10-17-24,295.2531,293.8966
10-18-24,294.32245,294.16736
10-19-24,294.91754,294.1369
10-20-24,295.3195,294.3084
10-21-24,294.75116,294.56638
10-22-24,294.5487,294.61243
10-23-24,295.13516,294.59335
10-24-24,294.56934,294.73962
10-25-24,293.21405,294.68658
10-26-24,292.5134,294.25952
10-27-24,293.76114,293.72733
10-28-24,294.48676,293.66684
10-29-24,294.86536,293.82996
10-30-24,295.1488,294.07794
10-31-24,295.83286,294.36234
11-01-24,293.27106,294.7801
11-02-24,291.6394,294.3772
11-03-24,291.54822,293.5985
11-04-24,291.43927,292.95932
11-05-24,291.34808,292.43082
11-06-24,291.7384,292.00967
11-07-24,292.50793,291.81628
11-08-24,293.3464,291.90622
11-09-24,293.60382,292.23627
11-10-24,293.80847,292.5869
11-11-24,292.65173,292.9304
11-12-24,292.54108,292.87503
11-13-24,291.6316,292.79584
11-14-24,290.67496,292.46576
11-15-24,291.1013,291.9326
11-16-24,290.11435,291.63504
11-17-24,290.61804,291.13205
11-18-24,288.8036,290.8963
11-19-24,288.11127,290.22394
11-20-24,286.84186,289.534
11-21-24,286.79672,288.67242
11-22-24,286.93112,288.0195
11-23-24,287.1546,287.57846
11-24-24,287.51956,287.32993
11-25-24,288.20398,287.2667
11-26-24,287.31314,287.4268
11-27-24,286.95386,287.33966
11-28-24,285.7146,287.19614
11-29-24,285.4803,286.7687
11-30-24,285.86206,286.38544
12-01-24,286.9933,286.19357
12-02-24,286.437,286.34448
12-03-24,286.27997,286.32904
12-04-24,288.00354,286.28998
12-05-24,285.21393,286.7097
12-06-24,284.38284,286.31555
12-07-24,283.69165,285.8075
12-08-24,283.77716,285.2395
12-09-24,284.45535,284.83
12-10-24,283.37393,284.69394
12-11-24,281.588,284.33652
12-12-24,280.53967,283.65213
12-13-24,281.83426,282.90918
12-14-24,281.93726,282.6719
12-15-24,280.8782,282.5305
12-16-24,280.70435,282.20337
12-17-24,281.00644,281.94064
12-18-24,282.14166,281.82538
12-19-24,280.90192,282.00375
12-20-24,283.9293,281.86642
12-21-24,284.0642,282.4598
12-22-24,283.00507,282.93875
12-23-24,284.30634,283.06396
12-24-24,284.43182,283.46466
12-25-24,283.72913,283.7893
12-26-24,284.19565,283.86185
12-27-24,287.05008,284.02084
12-28-24,287.27713,284.82495
12-29-24,286.41608,285.49554
12-30-24,283.37665,285.79922
12-31-24,281.90262,285.25552